USBean Parts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Designator,Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Description,Product Link
"SW1,SW2",TS-1187A-B-A-B,XKB Connection,20,0.0198,0.4,C318884,"SMD-4P,5.1x5.1mm",20,20,4000,1532800,In Stock,Tactile Switch SPST 160gf 1.5mm 5.1mm x 5.1mm Surface Mount,https://www.lcsc.com/product-detail/C318884.html
U1,SL2.1s,CoreChips,5,0.2534,1.27,C2684433,SSOP-16,5,5,7500,19855,In Stock,Hub USB 2.0 SSOP-16 Interface Controllers RoHS,https://www.lcsc.com/product-detail/C2684433.html
U2,RP2040,Raspberry Pi,1,0.9930,0.99,C2040,LQFN-56(7x7),1,1,3400,45523,In Stock,133MHz 30 LQFN-56(7x7) Microcontrollers RoHS,https://www.lcsc.com/product-detail/C2040.html
U3,XC6206P332MR-G,TOREX,5,0.1186,0.59,C5446,SOT-23-3L,5,5,3000,362600,In Stock,"3.3V Positive Fixed SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",https://www.lcsc.com/product-detail/C5446.html
U4,W25Q128JVSIQ,Winbond,1,2.4553,2.46,C97521,SOIC-8-208mil,1,1,2000,39006,In Stock,2.7V~3.6V 128Mbit 133MHz SPI SOIC-8-208mil Memory (ICs) RoHS,https://www.lcsc.com/product-detail/C97521.html
U5,ABM8-272-T3,ABRACON,5,0.2956,1.48,C20625731,SMD3225-4P,5,5,3000,15140,In Stock,�30ppm 10pF �30ppm SMD3225-4P Crystals RoHS,https://www.lcsc.com/product-detail/C20625731.html
U6,PM2.54-1X8PM-H85,JXTCONN,5,0.1002,0.5,C42431840,"Through Hole,P=2.54mm",5,5,400,12860,In Stock,"3A 8P Through Hole -40?~+105? 8.5mm 1x8P 2.54mm Top 1 Square Hole Through Hole,P=2.54mm Headers, Receptacles, Female Sockets RoHS",https://www.lcsc.com/product-detail/C42431840.html
"USB2,USB3",10.0 QHHTZB6.3,SHOU HAN,10,0.0636,0.64,C668591,SMD,10,10,100,33150,In Stock,"USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle",https://www.lcsc.com/product-detail/C668591.html
"D1,D2,D3,D4,D5,D6",P6SMB6.8CA/TR13,Brightking,10,0.0533,0.53,C78395,SMB(DO-214AA),10,10,3000,236350,In Stock,10.5VC Clamp 58.1A Ipp TVS DIODE SMB(DO-214AA),https://www.lcsc.com/product-detail/C78395.html
"C1,C4,C6,C16,C17,C18,C19,C20,C21,C22,C23,C24,C27",CL10A105KB8NNNC,Samsung Electro-Mechanics,50,0.0131,0.66,C15849,0603,50,50,4000,0,Backordered,1uF �10% 50V Ceramic Capacitor X5R 0603,https://www.lcsc.com/product-detail/C15849.html
"C2,C3,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C28",CC0603KRX7R9BB104,YAGEO,100,0.0172,1.72,C14663,0603,100,100,4000,0,Backordered,100nF �10% 50V Ceramic Capacitor X7R 0603,https://www.lcsc.com/product-detail/C14663.html
"C25,C26",CL10C150JB8NNNC,Samsung Electro-Mechanics,100,0.0092,0.92,C1644,0603,100,100,4000,27000,In Stock,15pF �5% 50V Ceramic Capacitor C0G 0603,https://www.lcsc.com/product-detail/C1644.html
"R1,R2",0603WAF5101T5E,UNI-ROYAL,100,0.0019,0.19,C23186,0603,100,100,5000,0,Backordered,5.1k? �1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C23186.html
"R5,R6",0603WAF5602T5E,UNI-ROYAL,100,0.0020,0.2,C23206,0603,100,100,5000,0,Backordered,56k? �1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C23206.html
"R7,R8",0603WAF1001T5E,UNI-ROYAL,100,0.0018,0.18,C21190,0603,100,100,5000,0,Backordered,1k? �1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C21190.html
"USB1,USB4",TYPE-C 16PIN 2MD(073),SHOU HAN,20,0.0707,1.41,C2765186,SMD,20,20,1000,1331380,In Stock,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",https://www.lcsc.com/product-detail/C2765186.html
"R3,R4",0603WAF220JT5E,UNI-ROYAL,100,0.0017,0.17,C23345,0603,100,100,5000,0,Backordered,22? �1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C23345.html
"TV1,TV2,TV3",SRV05-4.TCT,SEMTECH,5,0.1506,0.75,C13612,SOT-23-6L,5,5,3000,81270,In Stock,17.5VC Clamp 12A@8/20us Ipp TVS DIODE SOT-23-6L,https://www.lcsc.com/product-detail/C13612.html
LCSC parts sub-total:,,,,,15.06,,,,,,,,,
Display,1.8 TFT NO TOUCH,TZT teng,1,2.12,2.12,,8-pin TFT display,1,1,,,In stock,,https://www.aliexpress.com/item/4000219159401.html
3D printed case,,JLC3DP (or print at home ?? for free),1,,3.09,,,,,,,N/A,,https://jlc3dp.com/3d-printing-quote
Total,,,2,,20.27,,,,,,,,,
